Epoch,Train Loss,Validation Loss,Test Loss,Test R2,Main Loss,gradP Loss (s1),gradT Loss (s2),gradC Loss (s3)
1,0.052083762357667845,0.0762199705036787,0.024281271164202027,0.03134787082672119,0.052064949419440294,4.2666243496185566e-12,1.8799569240057147e-05,1.336472087558115e-08
2,0.037742559619199825,0.02766867999273997,0.01433971979551845,0.5654870867729187,0.03773400800802359,3.675947518612581e-13,8.467956596611916e-06,8.36542120338727e-08
3,0.022277734919843153,0.01965452257830363,0.015694777584738202,0.6085598468780518,0.022255196179286008,0.0,1.7593209428165804e-05,4.945531128977459e-06
4,0.017246718643821518,0.027920031920075417,0.012388056713259883,0.5351066589355469,0.01722465644635987,1.4643666320841527e-10,1.6124183375427886e-06,2.0449632687446108e-05
5,0.014499284084792903,0.02802249058507956,0.01018757993976275,0.6498928070068359,0.01446425128819012,2.0463990262135955e-09,2.931946883247565e-08,3.5001430734925076e-05
6,0.012283357294088625,0.013546713412954258,0.007487699751638704,0.7658398747444153,0.012238439382621792,1.2427863423004176e-08,1.0733877600955098e-05,3.417160600244983e-05
7,0.011496733942807409,0.012538633380944911,0.01062805505676402,0.7078648805618286,0.011468894984118821,1.340837131712555e-08,1.0136753784609977e-05,1.7688796532655464e-05
8,0.010998429593407846,0.016237245084574588,0.007878009501534203,0.6828974485397339,0.010959383367174646,1.5664566093266916e-08,4.887756396077315e-06,3.414280527102937e-05
9,0.011541702067403604,0.013591357435171422,0.009447188220090337,0.741314172744751,0.011467750070662034,4.28461400792143e-09,6.831946811957883e-05,5.628244007984921e-06
10,0.009365990418884076,0.014717988096750699,0.00795891135931015,0.7278150916099548,0.009341068656706229,5.710857273024889e-09,2.8436817865188566e-06,2.207236953405313e-05
11,0.010673864378931947,0.019538406640864335,0.007247534580528736,0.7592909932136536,0.010560516841573322,7.531815581267645e-09,7.631928912969116e-05,3.7020716413353684e-05
12,0.01083709459879113,0.01905084394205075,0.007534276280138228,0.7365492582321167,0.010808193420128124,2.012613229927732e-09,5.572652288249711e-07,2.8341900820950652e-05
