Epoch,Main Loss,gradP Loss (s1),gradT Loss (s2),gradC Loss (s3),Physics Loss Sum
1,0.05318456900293951,1.8301612356820526e-14,2.4091401400341544e-14,7.279806004131623e-05,7.279806008370924e-05
2,0.03783442069135316,0.0,0.0,6.201077104107113e-07,6.201077104107113e-07
3,0.021936764456815534,0.0,0.0,0.0,0.0
4,0.019453709582229712,0.0,0.0,0.0,0.0
5,0.01903663787313483,0.0,0.0,9.790054602849256e-07,9.790054602849256e-07
6,0.016651505241533377,0.0,0.0,7.975984127103247e-06,7.975984127103247e-06
7,0.01392051622924673,5.1342150052857055e-11,1.2331437609724576e-10,3.323573917335726e-06,3.3237485738618763e-06
8,0.01231783058179857,7.157234843538868e-10,7.02115000340051e-11,0.00012099967331494537,0.00012100045924992975
9,0.011880617340808952,1.5607323793793806e-09,8.834055217529421e-11,1.991744580073805e-06,1.9933936530053596e-06
10,0.010692871577868407,4.155410737077842e-09,3.777353910553915e-10,5.8627615130724264e-05,5.8632148276852395e-05
11,0.0105914639599331,3.722889036301851e-09,7.283882906059896e-10,3.0589071493290092e-06,3.0633584266559173e-06
12,0.009946285396233781,1.0221187644847995e-08,7.259201460857253e-12,8.068813163599956e-09,1.8297260009908808e-08
13,0.009245391829277982,8.894081080024231e-09,5.611191893861027e-11,1.8770387148821917e-05,1.877933734182088e-05
14,0.010270159080769722,1.1380119789390815e-08,2.564060981819227e-10,2.2297463371402036e-05,2.2309099897289608e-05
15,0.008382803594161357,1.0223546324674085e-08,1.1420436064152214e-09,1.4711320201842605e-05,1.4722685791773695e-05
16,0.0095311187044415,1.0438110315693267e-08,3.360900172065744e-10,6.873170905343133e-05,6.874248325376424e-05
17,0.009176621806215157,1.1168934644816865e-08,5.926775686403423e-12,2.2642161563900074e-05,2.2653336425320576e-05
18,0.00799769996786369,1.2947584860518417e-08,8.30595563110155e-12,3.6174360896527903e-06,3.63039198046894e-06
19,0.007579611245446004,1.5589536866583957e-08,3.644716858191995e-12,1.260034635314013e-05,1.2615939534723572e-05
20,0.00742334910583767,1.3099237425316251e-08,1.869729276810416e-12,3.16282032482011e-05,3.1641304355355694e-05
21,0.00740400499168348,1.078244465634196e-08,3.9847782886583555e-10,2.5442233932713588e-05,2.5453414855198796e-05
22,0.006932844413904014,1.0016802594374984e-08,7.183103884579687e-10,2.5838743523781756e-07,2.691225482206505e-07
23,0.0070524854863715635,1.575614407954281e-08,5.103583622657142e-10,1.0803791352259326e-05,1.0820057854701134e-05
24,0.007103959812069094,1.226180298917625e-08,7.046624427612287e-10,6.635083607514905e-06,6.648050072946842e-06
25,0.00678898316699189,1.558935330066921e-08,8.657499392720539e-12,9.428995104036426e-06,9.444593114836487e-06
26,0.007372260701467658,1.2500667652271907e-08,4.2684193503350747e-10,1.3380612784831323e-05,1.3393540294418628e-05
27,0.00762724854935009,9.681628504234554e-09,3.5373712110604316e-10,3.0705568859486736e-05,3.0715604225112076e-05
28,0.006710331835602591,6.9648001673304776e-09,1.579871984015556e-09,4.675186533508641e-05,4.6760410007237755e-05
29,0.00678488922414261,7.75047870585267e-09,1.6745562318364216e-09,0.00017591873734158512,0.00017592816237652282
30,0.006201157104465869,8.196548874865661e-09,3.8826010464183546e-10,5.419730790971569e-06,5.428315599951076e-06
31,0.00617926963453798,8.843573148494014e-09,4.320640419687246e-11,2.008228940690433e-05,2.009117618645702e-05
32,0.006343878784470938,6.356783472231493e-09,1.338890592542387e-10,2.2055723193861175e-05,2.206221386639266e-05
33,0.0066708865599682575,4.271396088144191e-09,9.046965951631998e-10,1.5675503560374014e-05,1.568067965305732e-05
34,0.005896402358125847,6.303641253792093e-09,4.4293319820039643e-10,2.5495555543830504e-06,2.556302128835043e-06
35,0.006221236340556439,4.333232541502414e-09,1.4637405920095736e-10,0.00012203321480352778,0.00012203769441012848
36,0.006492086686193943,4.8442118149989616e-09,3.399017241219744e-11,1.4819814697484791e-06,1.4868596717358904e-06
37,0.005771245916265172,4.55148245614838e-09,3.2255693110662817e-10,2.499049102269136e-05,2.4995365062078617e-05
38,0.006149055297159916,2.2078735165193573e-09,6.966209444940486e-11,6.186467394146952e-06,6.18874492975792e-06
39,0.00588120839274307,2.013967786789224e-09,1.300859569605735e-10,2.415562518950125e-05,2.4157769243245002e-05
