Epoch,Main Loss,gradP Loss (s1),gradT Loss (s2),gradC Loss (s3),Physics Loss Sum
1,0.05444785879997464,1.384751395459529e-12,2.927678755974782e-14,0.0009881620249565803,0.0009881620263706085
2,0.0534633162443514,0.0,0.0,0.0,0.0
3,0.048788570641697226,0.0,0.0,1.8858540577511303e-07,1.8858540577511303e-07
4,0.03245396799613516,0.0,0.0,4.16860719024075e-06,4.16860719024075e-06
5,0.024062934718639045,0.0,1.8701935002637333e-14,8.89265742062005e-07,8.8926576076394e-07
6,0.019781483772706675,0.0,3.097815207489242e-13,1.6222820785132563e-07,1.6222851763284638e-07
7,0.018173427562918756,8.713596337781858e-14,6.275182069834815e-12,4.7593026756492705e-07,4.759366298829603e-07
8,0.01606947197518372,1.578336978414634e-11,2.485252493953636e-11,1.5128406966177173e-05,1.5128447602071897e-05
9,0.013870571389213784,2.9555299571794834e-10,6.812834217206629e-11,2.9031593495788675e-05,2.9031957177126565e-05
10,0.013487087967866039,6.071433788131262e-10,1.6921632393366254e-11,3.6646495078592184e-05,3.664711914360339e-05
11,0.011972523911239265,3.5543511197063383e-09,1.560452726018021e-13,9.724476681543234e-06,9.728031188708213e-06
12,0.011664711876300636,3.616503405991821e-09,1.3591636026694134e-10,8.988507770441995e-06,8.992260190208254e-06
13,0.011333700886310695,5.462047566701897e-09,1.0117807409724905e-11,7.283998150553079e-06,7.2894703159271905e-06
14,0.009871160269823747,1.4110351433687291e-08,3.0539340146885803e-10,5.169759419711479e-05,5.171200994194994e-05
15,0.00913712696789147,1.5859183336543927e-08,4.813367788157321e-11,4.191197261081734e-06,4.20710457809616e-06
16,0.009140990468879024,2.9489789195091494e-08,1.9035492881586477e-11,2.244850164156538e-05,2.2478010466253353e-05
17,0.008663409719146885,1.8039895750140072e-08,5.871608271337398e-10,8.354899539136313e-06,8.373526595713586e-06
18,0.008421060913423825,1.9083976245613842e-08,1.6270901485509699e-09,1.1581319195509054e-05,1.1602030261903218e-05
19,0.007829818130748999,2.3752903077172758e-08,3.0341280606741524e-10,1.7417451339309547e-05,1.7441507655192787e-05
20,0.00752789848000295,3.943510728633389e-08,2.7110815579216064e-10,5.146014864530072e-05,5.1499854860742845e-05
21,0.0077824978938011765,1.601694931659764e-08,1.894396645357046e-09,7.671296037734924e-06,7.689207383696879e-06
22,0.00834137421742372,1.4516327399636215e-08,1.7851118815066716e-09,1.585896177146977e-05,1.5875263210750914e-05
23,0.007239022673192349,1.3122575785965845e-08,1.614264339990167e-10,9.02213611305616e-07,9.154976135255809e-07
24,0.006913386064569478,1.9121781946951935e-08,5.199835867016117e-10,5.682254853736435e-06,5.7018966192700884e-06
25,0.007571329870684581,1.146567066974531e-08,6.936797587943465e-10,3.942266510536077e-05,3.943482445578931e-05
26,0.007750298489223827,3.777342401414268e-08,1.507223164273972e-09,7.263376523516117e-07,7.656182995300283e-07
27,0.007751100240033362,2.5796268977745405e-08,2.8218397316177288e-09,6.669389873478034e-06,6.698007982187397e-06
28,0.0068980297466812585,5.407029512628418e-08,6.845071419516772e-10,3.455899982529853e-06,3.510654784798089e-06
29,0.006575575975289979,3.393551197097435e-08,1.4371479255120743e-09,4.4998580177731946e-05,4.5033952837628433e-05
30,0.006466688237503752,3.561144985164559e-08,7.541536703096093e-09,7.378770303095961e-06,7.421923289650703e-06
31,0.007482277614959552,2.0460220863582502e-08,2.2936113429802594e-09,5.593502821817779e-07,5.821041143883407e-07
32,0.007226355419216024,2.165044536521995e-08,4.3141992118498524e-10,5.57856891410284e-06,5.6006507793892445e-06
33,0.006213121938628036,1.891631457867308e-08,3.960231618408547e-09,2.1142937930793682e-05,2.1165814476990763e-05
34,0.005821031460828789,1.580506053693685e-08,8.645782472881093e-10,1.1096485322785142e-06,1.1263181710627392e-06
35,0.00607578021280661,1.3373795582007047e-08,2.8367134037178556e-09,4.472756316635805e-06,4.48896682562153e-06
36,0.005570942230595203,9.098093676687195e-09,2.9919779922972036e-09,2.5827744177176454e-05,2.5839834248845438e-05
37,0.006357544924241382,6.91075124239141e-09,2.0521562029423946e-10,5.529148623421021e-06,5.536264590283706e-06
38,0.005294049461069819,9.99022110178841e-09,3.839140506840516e-09,9.889397015913795e-06,9.903226377522423e-06
39,0.005493499349210073,6.519203540192498e-09,3.754461665098707e-09,2.2590745825469296e-06,2.269348247752221e-06
40,0.005495169054861967,6.424927476414051e-09,3.101815558230843e-09,4.110640322341854e-05,4.1115929966453185e-05
41,0.005932745838223339,5.218594443354254e-09,5.467731699190617e-09,1.1577462747217356e-08,2.2263788889762224e-08
42,0.005623162436819115,1.134667956042205e-08,8.452281820349066e-09,1.1337367176698414e-05,1.1357166138079185e-05
43,0.005500534222787851,7.024562946522069e-09,4.250751770882151e-09,3.5437396053175603e-06,3.5550149200349644e-06
44,0.006751537401616187,1.4343744552303272e-09,3.431269435969012e-09,5.571782193759571e-07,5.620438632671564e-07
45,0.008158199216976955,9.133447281252853e-09,1.054032805107888e-09,0.000137179836781298,0.00013719002426138436
46,0.006039242574630619,7.691187834054703e-09,8.510494805375225e-10,3.720924988925903e-05,3.721779212657362e-05
47,0.005552460149220832,1.0542401981581624e-08,2.2564964594389418e-09,0.0,1.2798898441020567e-08
48,0.005175393436091964,8.807628674553703e-09,1.7466915886588461e-09,1.3621224427995314e-05,1.3631778748258526e-05
49,0.005311928612373576,1.4506019434711722e-08,1.2024256765514414e-09,1.1156072852574328e-05,1.117178129768559e-05
50,0.005857582633419857,8.038665699057189e-09,7.29300356513792e-10,3.3297478976634216e-07,3.4174275582191316e-07
51,0.004907096402006006,9.570215534195163e-09,2.7257849764865767e-09,3.5308845566606383e-07,3.6538445617674557e-07
52,0.005559829656373371,6.169106615381136e-09,1.7785940783952048e-09,1.3727768124455634e-06,1.3807245131393397e-06
53,0.004752439107328605,7.018661096873604e-09,2.1439079722146633e-09,4.620437915299365e-05,4.6213541722062736e-05
