Epoch,Main Loss,gradP Loss (s1),gradT Loss (s2),gradC Loss (s3),Physics Loss Sum
1,0.05539585403227187,1.6864075572059236e-11,1.1617672623795227e-13,2.1312671569320948e-05,2.1312688549573246e-05
2,0.05201055844882866,0.0,0.0,0.0,0.0
3,0.033790917861480994,0.0,3.325434669561395e-11,0.0,3.325434669561395e-11
4,0.021954391708041168,0.0,1.3262196067569559e-10,1.5126389606783902e-06,1.5127715826390658e-06
5,0.019491863981276364,3.4750976932693795e-13,8.995267816031907e-10,0.0,8.998742913725176e-10
6,0.01709411485580268,3.6259598276001995e-11,5.221632466534022e-10,4.832385045264264e-06,4.832943468109193e-06
7,0.015278931858332514,1.2591291041590563e-10,9.515243881844082e-11,3.2070143377871556e-05,3.207036444322079e-05
8,0.013626376197177482,5.842293188753782e-10,9.085856140910012e-11,1.17081222514358e-05,1.1708797339316085e-05
9,0.012862241089150503,2.2096728735120592e-09,4.409824853067283e-10,7.332384216327778e-05,7.33264928186366e-05
10,0.011675262551561191,1.069888011805816e-08,7.733540347250314e-14,2.1935610681287283e-05,2.1946309638740744e-05
11,0.010463988731990193,4.462262890134768e-08,4.758980663419211e-11,5.933375433003765e-06,5.978045651711747e-06
12,0.009363775422748227,5.255612346516516e-08,2.0563041156685892e-10,0.00026607672482963925,0.000266129486583516
13,0.010420451364056631,3.615561253103772e-08,8.443441636377229e-10,3.7819908985853694e-05,3.785690894254837e-05
14,0.009237606791997111,3.3436349608821625e-08,8.591486313176946e-11,3.453993861331058e-07,3.789216506050592e-07
15,0.008473952609271584,3.826881747384225e-08,7.483101280341815e-10,3.912342359473027e-06,3.951359487074903e-06
16,0.008905754300656838,3.990167262195756e-08,1.1332955393150055e-09,1.5453061074508497e-05,1.549409604266977e-05
17,0.00786315721108929,3.720814536204274e-08,1.9699089842732453e-10,1.3591267660442829e-05,1.3628672796703299e-05
18,0.007367941569053121,6.089399524176713e-08,2.2049153107551605e-10,1.729808192921887e-05,1.7359196415991715e-05
19,0.007810022358407641,4.934754715942349e-08,1.323935810279565e-09,4.989913105003202e-06,5.040584587972904e-06
20,0.0071867786547435185,3.3333437593532406e-08,5.975105832048102e-10,9.94334334146068e-07,1.0282652823228053e-06
21,0.007302270612570566,4.4435738229047844e-08,1.5151987154041196e-09,9.107014702732903e-05,9.111609796427348e-05
22,0.0074803110472132246,2.724217267766834e-08,2.144609675014999e-09,1.4848872974035077e-08,4.4235655326718414e-08
23,0.007298199986047172,2.292373936391601e-08,7.500696454625803e-10,2.102378990675878e-06,2.1260527996852563e-06
24,0.007156291640932103,2.029118724929822e-08,3.3860901826502275e-10,1.7300726512721697e-05,1.732135630898926e-05
25,0.007317471224209899,1.6764024220412268e-08,4.537998261684748e-10,0.0,1.7217824046580743e-08
26,0.007330505927274754,2.3392677630926317e-08,2.6088982005735354e-10,6.496632919165603e-06,6.520286486616586e-06
27,0.006539157830638352,1.0239086631115287e-08,1.6396698258812213e-09,2.917765003227865e-06,2.9296437596848616e-06
28,0.006217456543697165,1.4664079639292671e-08,6.474050656546015e-10,1.1643873525042687e-06,1.1796988372092159e-06
29,0.0070686550514603205,1.266444004686286e-08,6.698323938694273e-09,0.00040188045990530337,0.0004018998226692889
30,0.006223318919950685,2.4467570342174056e-08,1.478651033683152e-09,8.041243081286467e-07,8.300705295045039e-07
31,0.007240459948850723,7.234921712139787e-09,4.613632056300767e-09,0.00025299375711730323,0.00025300560567107167
32,0.008749592015156885,8.05848849569098e-09,1.1454729593148943e-11,1.4451489966936787e-06,1.4532189399189629e-06
33,0.006709741428494453,6.4653371492207366e-09,5.6346035579395846e-11,3.917390525276999e-06,3.923912208461799e-06
34,0.006970555010529888,7.045769679604527e-09,0.0,3.5199147579590204e-05,3.520619334926981e-05
35,0.005819937622464903,9.913989734355921e-09,1.0976802330602738e-14,0.0,9.914000711158252e-09
36,0.006331069204448299,1.485764363839158e-08,2.6048366704556312e-11,2.707756489991199e-05,2.7092448591917086e-05
37,0.005820549948915065,1.4135576921388772e-08,3.051569897506446e-13,0.0,1.4135882078378523e-08
38,0.006155201693537173,2.3676344978331058e-08,1.9566266024958328e-10,6.511437198747228e-06,6.535309206385809e-06
39,0.00806485068403765,1.0854418293924777e-08,8.185137810932443e-10,0.0007026422088032907,0.0007026538817353657
40,0.006559397045571309,2.5278240659679153e-08,1.5615200830219128e-09,8.945159930204266e-06,8.971999690946966e-06
41,0.006199092561887069,1.971811242955464e-08,3.75208274857703e-10,0.0,2.0093320704412345e-08
42,0.005581290213173473,1.9455466420629703e-08,1.5452856113114972e-10,5.353360047491988e-06,5.3729700424737485e-06
43,0.005705255147239024,1.7312355524704886e-08,2.338907288271262e-10,7.314503604543978e-08,9.069128229897178e-08
44,0.006107497506762867,1.83114590332852e-08,1.6363787196116108e-10,1.9250997396472247e-05,1.9269472493377494e-05
45,0.005896623250907408,1.785943778284265e-08,7.807755581865198e-10,3.251395229916403e-05,3.2532592512505056e-05
46,0.00566194916458486,1.2423972491133675e-08,1.5706958793664068e-10,0.0,1.2581042079070316e-08
47,0.005450220261519025,6.9334084685757455e-09,6.793843649857992e-11,1.7881798697004977e-05,1.7888800043910053e-05
48,0.005066800833824877,9.798106500922939e-09,9.268315781072366e-10,0.0,1.0724938079030176e-08
49,0.005452070742023069,1.4172086423616796e-08,4.3029088233110324e-10,6.953341819596603e-05,6.954802057327197e-05
50,0.0053597728331730545,8.82039588708385e-09,2.660850848746969e-10,4.374637320554647e-05,4.375545968651843e-05
51,0.005376101368675371,1.1843250127083163e-08,1.771744436269205e-09,4.87400521090344e-06,4.887620205466792e-06
52,0.00545800853423871,1.7860089750559856e-08,2.4107535781020975e-10,2.729996251911141e-07,2.911007902994842e-07
53,0.004889186572997117,9.595627997681435e-09,2.183386876423411e-09,9.215624491677146e-06,9.227403506551251e-06
54,0.005039934121834283,9.837138727050606e-09,6.291464803640408e-10,2.4435312706650616e-06,2.4539975558724764e-06
55,0.005773319980710164,1.0117888354823861e-08,6.847600777011414e-10,3.267474996614029e-05,3.268555261457281e-05
56,0.005216467898798647,1.0034427634555088e-08,1.4917719941271483e-09,0.0,1.1526199628682235e-08
57,0.0054315775663096024,6.383880032121377e-09,3.7424186996773794e-11,4.595605396719965e-06,4.602026700939083e-06
58,0.005204921372101775,9.497201991495168e-09,6.014456422534436e-11,1.0256889204659277e-05,1.0266446551214998e-05
59,0.004706020120761128,6.703437117110221e-09,4.956084657773463e-10,7.73677782320904e-06,7.743976868791928e-06
60,0.00488572050787073,5.803821827813545e-09,1.2303175192388167e-10,8.088107843077216e-10,6.7356643640451476e-09
61,0.00441449335715794,3.94674246011031e-09,1.4698838361294086e-10,9.314649377428741e-06,9.318743108272465e-06
62,0.0044794912561895205,5.355919759545064e-09,1.9732684555778475e-10,3.5186717239739294e-06,3.5242249705790324e-06
63,0.004811082673319555,8.661646407531625e-09,5.788166697123967e-10,2.195422018870656e-06,2.2046624819479e-06
64,0.005042433206524167,3.5736749389545697e-09,9.996492237164267e-11,1.1559718775577093e-05,1.156339241543842e-05
65,0.004594001420108336,3.841148123878683e-09,2.9342503561311594e-10,5.81710892180087e-06,5.821243494960362e-06
66,0.005235956830589415,4.2564146834864765e-09,1.0982129031663744e-09,1.2872552147793114e-05,1.2877906775379766e-05
67,0.004698968640613285,3.7535816015491735e-09,9.986187003404644e-10,3.950662153558257e-05,3.951137373588446e-05
68,0.005274508051670991,3.1083985761066635e-09,3.300428061539863e-10,5.898715257566759e-07,5.933099671389365e-07
69,0.00485353109686841,3.26556792671082e-09,1.3539173086453158e-09,0.00041996055147908395,0.0004199651709643193
70,0.004455906181753456,1.5020795481904993e-08,1.4976821255143694e-09,9.979925807176489e-06,9.996444284783908e-06
71,0.00454358880063398,2.3394038248006734e-09,2.835771765179595e-09,0.0,5.175175589980268e-09
72,0.005166467629953638,5.1969169854250455e-09,1.4260754659859907e-09,8.008943225439642e-06,8.015566217891052e-06
73,0.00467392069880258,4.079493861761784e-09,1.4193585214956836e-09,1.1484731788181847e-05,1.1490230640565105e-05
74,0.004116291195371902,2.683732349244817e-09,1.1654209889412508e-09,0.0,3.849153338186068e-09
75,0.004157518431266116,3.029086884547999e-09,1.7471476656713e-09,2.120011823669123e-05,2.120489447124145e-05
76,0.00414629261668578,2.074524520929595e-09,5.590479637881544e-10,1.3481968955051345e-05,1.3484602527536063e-05
77,0.005643879832978082,2.046075960434863e-09,1.144346010487256e-08,3.5435259501364884e-05,3.544874903743019e-05
78,0.00499843464946592,5.708740595452822e-09,4.420867054470988e-09,4.6549618263323805e-06,4.665091433982304e-06
79,0.005265761417784281,2.6248295123020284e-09,8.786269815425419e-10,5.5605482812017865e-08,5.910893930586243e-08
80,0.0046073811781870855,5.237443546709285e-09,2.7914954254455136e-09,1.548499084196247e-05,1.5493019780934624e-05
81,0.004106648538455174,4.962440839538355e-09,6.037747973318351e-10,1.8327616784485647e-06,1.838327894085435e-06
