Epoch,Main Loss,gradP Loss (s1),gradT Loss (s2),gradC Loss (s3),Physics Loss Sum
1,0.05457251114988482,0.0,0.0,0.0,0.0
2,0.0483023864882333,0.0,0.0,0.0,0.0
3,0.02729199080449807,5.992613717813497e-15,0.0,0.0,5.992613717813497e-15
4,0.02275844125149699,0.0,0.0,0.0,0.0
5,0.018267901154694618,3.02852161942615e-12,0.0,1.6951611060549082e-05,1.6951614089070702e-05
6,0.016476640133066225,1.0136157742920307e-11,0.0,3.778955435952745e-05,3.7789564495685195e-05
7,0.014291617317826718,9.831241081438493e-11,7.698182506856934e-12,1.2152984373827063e-05,1.2153090384420384e-05
8,0.011948822743513367,1.6691761574985784e-09,1.920410088573737e-11,6.725937404834437e-05,6.726106242860275e-05
9,0.01086360208883688,4.599036345767057e-09,3.596315090543316e-13,4.4775620858166784e-07,4.5235560455894396e-07
10,0.009886856735139699,8.627316208304068e-09,3.0864342438356464e-13,5.203206102262412e-05,5.2040688647475846e-05
11,0.010945582568838999,1.4432204939435196e-08,2.4208083887092604e-13,0.0001063592421788448,0.00010637367462586507
12,0.010211480327869778,6.290819016761271e-09,1.143495233277337e-10,2.5890850576575655e-06,2.5954902261976546e-06
13,0.008846371238083616,1.0227356932267028e-08,3.600653055210787e-10,0.00011792105500781162,0.0001179316424300494
14,0.009667704374735037,7.14601243896063e-09,1.7465474358958927e-11,8.035953461500837e-05,8.03666980929217e-05
15,0.008584893795407632,1.5609150107212397e-08,7.007846741612672e-10,1.7738117011753482e-06,1.7901216359567219e-06
16,0.008862352890700295,2.5801183076404714e-08,3.9145021715759057e-10,8.809510446902947e-06,8.83570308019651e-06
17,0.009652284046562461,1.943317191249337e-08,2.141170275252947e-09,2.7724571780097943e-05,2.774614612228569e-05
18,0.008543731088375117,3.4237204797206555e-08,3.9424844526917766e-10,2.35461349657545e-05,2.3580766418996973e-05
19,0.00800364517135086,3.9690038417309217e-08,6.616788512156186e-10,3.168660824762506e-05,3.172695996489358e-05
20,0.008045403607334797,4.634551564911479e-08,5.15921596846903e-10,2.4321513000811874e-05,2.4368374438057835e-05
21,0.008400288879169852,3.0699079890775474e-08,3.0355184355811154e-10,7.325486566662546e-06,7.35648919839688e-06
22,0.007915422365722525,2.391250842405314e-08,2.368171074518534e-10,2.220016947414009e-05,2.2224318799671594e-05
23,0.007300014398967871,2.7486688242575674e-08,3.411683592844616e-10,2.221034059827468e-05,2.223816845487654e-05
24,0.008590507445034461,1.887793678236754e-08,6.31887424495375e-10,2.0066071579358316e-05,2.008558140356518e-05
25,0.006861161210804017,3.6978995658280984e-08,1.2819271877050207e-10,7.679665158378804e-05,7.68337587721651e-05
26,0.0068166273307393895,2.5774772242731973e-08,7.819426388837628e-11,5.878630181148801e-06,5.904483147655421e-06
27,0.006972303946635553,1.659478489664589e-08,3.1993820101686236e-10,1.3432670716120763e-05,1.3449585439218426e-05
28,0.007260742231405207,1.8800504704333672e-08,7.345824914598048e-10,0.00023193320771989126,0.00023195274280708706
29,0.00785861745500913,8.728415015496215e-09,1.6033716609627996e-10,1.7847189753265147e-05,1.7856078505446738e-05
30,0.006352187327847078,2.0321399678070377e-08,2.962980253828073e-10,1.826125215618723e-05,1.8281869853890682e-05
31,0.0068413825500030796,2.548334956951205e-08,1.7373229461994253e-09,5.312032896307388e-06,5.3392535688231e-06
32,0.006903986274204277,1.3238555747245985e-08,4.675380724027938e-10,3.4971602059634915e-05,3.498530815345457e-05
33,0.006790429002956137,1.56426360286819e-08,6.065813573232029e-12,6.941272158774337e-06,6.956920860616593e-06
34,0.0064589416444930554,1.5490429206152102e-08,2.1762510096102612e-11,3.410402991488456e-05,3.411954210660081e-05
35,0.006246651928001023,9.116284217699996e-09,1.7509095693466124e-09,0.0,1.0867193787046608e-08
36,0.006014524526628,1.704552933791054e-08,3.861786692900991e-10,9.761531370070148e-06,9.778963078077349e-06
37,0.005920418955434065,1.2878124912537699e-08,1.5228588726166448e-09,3.791733132700492e-05,3.793173231079007e-05
38,0.007247371816789949,7.826837066178296e-09,3.2989219729395743e-10,2.7010649955058433e-05,2.7018806684321905e-05
39,0.00584009862444424,7.121603703912868e-09,1.2461641497985087e-10,2.3733121587945144e-06,2.380558378913407e-06
40,0.005602187471004662,1.170356573341682e-08,4.4939684216664147e-10,9.721119572640526e-07,9.842649198396362e-07
41,0.006061065685028186,9.036693380265909e-09,1.3374802751818234e-10,1.943720858271581e-05,1.9446379024123593e-05
42,0.006534939586463106,1.2062681589890557e-09,2.4152239756256734e-11,0.00019513977492935302,0.00019514100534975175
43,0.008408091879183692,3.983324292691283e-09,6.211912840530736e-10,0.0003191339868883495,0.00031913859140392627
44,0.007981516898597604,7.626644079509476e-09,3.2506994992848414e-09,3.080061182888735e-05,3.0811489172466145e-05
