Epoch,Main Loss,gradP Loss (s1),gradT Loss (s2),gradC Loss (s3),Physics Loss Sum
1,0.056143341743400396,2.2899222323453243e-11,0.00030116252975970675,6.463873564793201e-08,0.00030122719139457705
2,0.05111632873894463,0.0,0.0,0.0,0.0
3,0.034128413863585026,2.923581125895786e-13,0.0,2.68166351673094e-10,2.6845870978568357e-10
4,0.021163484160329253,1.1070914479353358e-15,0.0,1.3669561984969995e-10,1.366967269411479e-10
5,0.0190321233608878,1.0731588331579562e-11,2.753821636389004e-05,3.3189201302706915e-09,2.754154601560864e-05
6,0.016055513632444427,7.004700633525363e-13,2.0309739090044117e-07,3.2921745294487358e-09,2.0639026589995326e-07
7,0.014772753880529756,6.503953916197658e-11,3.5450570271186294e-07,1.119844787252356e-07,4.665552209762605e-07
8,0.012912872109667097,9.640693648466922e-11,2.0004204474434684e-06,5.528551266410128e-07,2.553371981020966e-06
9,0.011302778523572733,4.600486754549493e-10,5.546822375125557e-05,1.7386918242817602e-06,5.720737562421279e-05
10,0.010421776901405881,3.5689689880450463e-10,4.099773510170125e-07,1.4480036684964775e-06,1.8583379164122945e-06
11,0.009412530612882594,5.604009585491974e-10,6.918258277933975e-05,5.096511686351313e-06,7.427965486664961e-05
12,0.009069782242336323,4.293815490653489e-10,8.387246075252903e-07,1.5561166136241437e-06,2.3952706026984994e-06
13,0.007761991307349272,7.217092886313298e-10,4.566528911051796e-07,5.668257603539477e-06,6.125632203933288e-06
14,0.007985946525570373,1.169188060883336e-09,2.296262584136389e-05,6.501846012264788e-06,2.946564104168956e-05
15,0.008900307328768179,8.694927482268723e-10,0.0,4.653336619463429e-06,4.654206112211655e-06
16,0.008022208625949184,1.6262038154587742e-09,1.2056373089050783e-08,3.4377500839438067e-06,3.451432660848316e-06
17,0.007048770132750063,8.348637086917925e-10,1.2999976820597706e-07,6.018347313562025e-06,6.149181945476694e-06
18,0.00698760965458629,9.721704001806228e-10,7.835821172557236e-07,8.280834648128246e-06,9.06538893578415e-06
19,0.006904917175579868,2.1062861311014167e-09,1.453256051308401e-09,4.479396842168467e-06,4.482956384350877e-06
20,0.007558344899427513,2.1852383665102567e-09,1.2156578651103203e-06,8.009899127785745e-06,9.227742231262576e-06
21,0.006739154782697139,4.322056738190323e-09,3.5107219506768625e-05,8.327328340475322e-06,4.343886990398214e-05
22,0.007299778904293624,1.1147444867117225e-09,1.1855204490956055e-06,4.134949403314223e-06,5.32158459689654e-06
23,0.0066619402643712895,2.59333068225433e-09,0.0,5.1450875483228934e-06,5.147680879005148e-06
24,0.0057758135576798045,2.1853677806811674e-09,7.590609286104901e-07,5.279770620521405e-06,6.041016916912577e-06
25,0.005682166906821371,1.934420013764723e-09,1.2822903636681853e-05,3.316537628617945e-06,1.614137568531356e-05
26,0.005552765598494402,1.3932392363495504e-09,0.0,7.917623654085323e-06,7.919016893321674e-06
27,0.00576506980734182,1.8455383615430766e-09,0.0,7.982483290948857e-06,7.9843288293104e-06
28,0.006026864966744898,1.5685105027095506e-09,6.436776703241378e-10,4.574877474263134e-06,4.5770896624361675e-06
29,0.006098263685486581,1.487870908187069e-09,0.0,7.703448604815822e-06,7.704936475724008e-06
30,0.006338604902979774,1.5762937181393128e-09,0.0,6.291777072226506e-06,6.293353365944646e-06
31,0.005637990858432063,1.3121730719760603e-09,1.7552109116615785e-06,5.884106968974871e-06,7.640630053708426e-06
32,0.005599052317335572,1.973624709236768e-09,0.0,8.454653317159155e-06,8.456626941868392e-06
33,0.005424225001110577,2.899432852916794e-10,0.0,5.001495215332015e-06,5.001785158617307e-06
34,0.005268539410268127,6.536475819067651e-10,1.2890830135426559e-05,6.033498787820754e-06,1.8924982570829222e-05
35,0.004584000891887806,3.551413175024032e-09,0.0,6.026953464897369e-06,6.030504878072394e-06
36,0.0045481183070978015,3.3851593189964217e-09,0.0,1.0624539807268502e-05,1.0627924966587498e-05
