Epoch,Main Loss,gradP Loss (s1),gradT Loss (s2),gradC Loss (s3),Physics Loss Sum
1,0.04757116180731029,0.0,7.041029940218905e-10,9.112130789465225e-08,9.182541088867414e-08
2,0.03248072892609166,0.0,0.0,8.447357107247491e-09,8.447357107247491e-09
3,0.023173666252504763,0.0,3.166724903548798e-06,7.801218626526539e-10,3.1675050254114506e-06
4,0.018018692879506002,2.272669633855461e-11,3.8546187028418217e-08,9.944347963746468e-06,9.982916877471225e-06
5,0.01354709820163141,5.960302859559496e-09,6.566251399516747e-05,2.530460472161899e-05,9.097307901964601e-05
6,0.012403483542318388,9.428102988227302e-09,0.0,3.585902445513197e-05,3.586845255812019e-05
7,0.010619648896930059,2.1961549157119897e-08,6.029089072759497e-06,4.147589056960938e-05,4.7526941191526e-05
8,0.011425342405124045,1.2437046777288693e-08,4.822214130064587e-07,2.1540997185142006e-05,2.2035655644925753e-05
9,0.010062574147723796,1.8078432836565486e-08,2.117318470661086e-06,2.2019312099880777e-05,2.4154709003378427e-05
10,0.010449971549394654,1.5363544015624814e-08,8.033263972534173e-08,2.2782026061335385e-05,2.2877722245076352e-05
11,0.011840817342489594,1.0630950647342465e-08,9.950854798207353e-06,3.834653131269841e-05,4.8308017061553104e-05
12,0.009661737960059105,2.3085422614102874e-08,6.283609602605114e-05,2.810117510609111e-05,9.096035655475635e-05
13,0.008661917978670539,3.317031775594731e-08,5.643203748854629e-06,5.521789838384424e-06,1.1198163904995001e-05
14,0.008884847025023547,1.8518081137061257e-08,4.197961857099647e-06,2.598595579274841e-05,3.020243573098512e-05
15,0.008674141684001902,1.9311386383699874e-08,5.151631420950944e-06,2.4740047886884864e-05,2.9910990694219508e-05
16,0.010008815210312605,9.151353849249368e-09,3.242095253012928e-07,1.6344910509871175e-05,1.6678271389021717e-05
17,0.007816979996632875,3.2214427414706994e-08,9.28568876115231e-06,1.9660719683079625e-05,2.897862287164664e-05
18,0.0074549558623580306,2.8361662162681e-08,1.5633068736834686e-05,2.7280237049780233e-05,4.29416674487776e-05
19,0.007685021874949154,2.2685157346540685e-08,6.519470284497533e-06,2.2743581023503665e-05,2.928573646534774e-05
20,0.007846123476444585,1.633147935227921e-08,4.2372982541017014e-06,2.3512134134435517e-05,2.7765763867889497e-05
21,0.008680127487268026,1.1269461919990063e-08,2.6192863416266404e-06,2.504623196249682e-05,2.7676787766043448e-05
22,0.007506438738257602,2.3753313305465652e-08,7.741042822096327e-06,2.2002755747377406e-05,2.9767551882779197e-05
23,0.006941268393747145,1.3612750886671383e-08,1.541786477622412e-05,2.4468409616715902e-05,3.9899887143826694e-05
24,0.007044333223503355,3.4773204650025116e-08,2.1066031944971594e-06,2.5456748238970506e-05,2.759812463811769e-05
25,0.007002210048617932,1.600304685376057e-08,1.0417884033805265e-06,2.1074510499546446e-05,2.213230194978073e-05
26,0.007154088839320693,2.3896566172698463e-08,7.950028559912263e-06,4.585650575145939e-05,5.3830430877544356e-05
27,0.006703851571329302,1.756203340029091e-08,3.7703452325802056e-07,2.6654225952678455e-05,2.7048822509336765e-05
28,0.00681786041525079,2.7858243276803434e-08,4.736877754244898e-06,2.5154812265384673e-05,2.9919548262906374e-05
29,0.0064772205432967805,2.0318959008480178e-08,1.2281429530748681e-05,2.352958747323678e-05,3.583133596299394e-05
30,0.006243056697180358,1.673886291958348e-08,2.161024870016704e-06,4.1798727304254076e-05,4.397649103719036e-05
31,0.006756587845568613,2.1493197279958262e-08,7.058579354892555e-05,3.8017172242530384e-05,0.00010862445898873589
32,0.006904060722374153,1.549622834841812e-08,1.3915940912342614e-06,2.326021729768358e-05,2.466730761726626e-05
33,0.00787559276866931,2.8255752838972364e-09,2.397321784979707e-05,0.00013141231796688033,0.0001553883613919613
34,0.006898748685560394,9.860817270147364e-09,1.1262300295348931e-06,6.88622320675321e-05,6.999832291433713e-05
35,0.006153713525613633,2.4108129230109627e-08,0.0,2.6032042603404034e-05,2.6056150732634144e-05
36,0.006086862654561495,2.942030541484174e-08,3.3007332774000146e-06,3.408365187735341e-05,3.741380546016827e-05
37,0.006364564629975797,1.175615256259575e-08,3.410710124637373e-09,6.402173997138445e-05,6.403690683407168e-05
38,0.006750922192955707,1.0977184523751001e-08,5.174748808881135e-06,1.4790524632684772e-05,1.997625062608966e-05
39,0.006880883796129194,1.5712099504437902e-08,2.9366690865641325e-06,3.882507041260436e-05,4.177745159867293e-05
40,0.007342615409004615,7.799064490829108e-09,3.673196694195275e-05,1.2862420428990235e-05,4.9602186435433806e-05
