Epoch,Train Loss,Validation Loss,Test Loss,Test R2,Main Loss,gradP Loss (s1),gradT Loss (s2),gradC Loss (s3)
1,0.053753621634337806,0.05344670999329537,0.0584690814668482,0.01195991039276123,0.053753621634337806,2.386799202627579e-11,2.3897107838203556e-10,3.091598244530564e-05
2,0.04086143799222909,0.036658643395639956,0.03782384199174968,0.31574755907058716,0.04086143799222909,9.72287374407535e-15,2.550203620819399e-11,1.5305678011086046e-05
3,0.02598097012075898,0.028209328942466527,0.03068314848298376,0.4402904510498047,0.02598097012075898,0.0,2.460153809264193e-12,0.0002276093485215907
4,0.022886293940246105,0.018366124772001058,0.020501996983181347,0.6415855884552002,0.022886293940246105,0.0,4.0641754317895e-12,0.0011509430899081458
5,0.020410116157167917,0.018292304390342906,0.018258164636790752,0.7086849808692932,0.020410116157167917,0.0,0.0,0.001524693609710572
6,0.01850124556184202,0.016759944817749783,0.016342043537985195,0.7290703654289246,0.01850124556184202,7.232919500878015e-12,0.0,0.002289608976352026
7,0.01793870037760247,0.013772404665360227,0.015670993450013073,0.7235746383666992,0.01793870037760247,1.012186282680364e-11,1.6385996909130372e-12,0.0018431442241513675
8,0.016766053963113915,0.017854376113973558,0.016305232674560764,0.7221497297286987,0.016766053963113915,1.5914793599473568e-12,1.8942804496229336e-13,0.0005330922373666049
9,0.016475875571660407,0.017498169967439026,0.01744820609350096,0.7176909446716309,0.016475875571660407,1.0102723852780403e-10,5.764026461294994e-15,0.00822942934304618
10,0.014180161530611577,0.012978493585251272,0.013148550325157967,0.7686148881912231,0.014180161530611577,1.5648533071312484e-10,1.3368623130971004e-11,0.008116614301546844
11,0.01281911495758535,0.009411068371264264,0.010164734992113981,0.8295868635177612,0.01281911495758535,8.151487244953835e-11,6.1187915154504915e-12,0.0096301280576947
12,0.011690457212412126,0.008073210949078202,0.010346893348138441,0.8201806545257568,0.011690457212412126,4.0481613510145567e-10,1.3465850823853881e-11,0.008619544050440532
13,0.010156660434463389,0.007138449756894261,0.009085512402552095,0.8352949023246765,0.010156660434463389,1.7093676268514047e-09,3.516543805660635e-12,0.009029787028268165
14,0.009595966302221278,0.0066277259174967185,0.007982971824028275,0.864483118057251,0.009595966302221278,5.58550234116619e-09,1.6310439888388591e-10,0.009585543673946291
15,0.009808150035413828,0.007859637582441792,0.00865192436189814,0.8567192554473877,0.009808150035413828,4.823173155172412e-09,4.56760513954986e-11,0.016193624110941957
16,0.009146896051847703,0.00841430613945704,0.010020005178045143,0.8364751935005188,0.009146896051847703,3.739759012891055e-09,6.968148195050422e-10,0.015334974513666067
17,0.00908030111149147,0.008166903251549229,0.009093808941543102,0.847403883934021,0.00908030111149147,3.764139794632591e-09,4.6057382208039855e-11,0.015300461966099308
18,0.007607275880147498,0.006513419299153611,0.007329920412633906,0.8750920295715332,0.007607275880147498,1.1758779529338009e-08,7.873111745083906e-11,0.01701708180843775
19,0.00782706415546792,0.006339930376270786,0.007231195076284083,0.8734468221664429,0.00782706415546792,1.1167025985690373e-08,1.0863919235512926e-10,0.018582357904741595
20,0.007476317418086065,0.007009842025581747,0.0074054309674962,0.8659790754318237,0.007476317418086065,1.667000145430549e-08,3.027442854833416e-10,0.01853721241841827
21,0.007519251793961634,0.007605146762216464,0.00958950813351707,0.8421427607536316,0.007519251793961634,8.011356580860307e-09,2.813117867358937e-10,0.020467314897348224
22,0.007417306361429683,0.006867663294542581,0.007602164246649904,0.8695563077926636,0.007417306361429683,1.6388361142899005e-08,2.268611844166066e-09,0.018282466102339
23,0.008213829336833064,0.00722683708590921,0.009488406421786005,0.847503662109375,0.008213829336833064,2.951435084051328e-09,4.3746013312853373e-10,0.015767387621075265
24,0.007567480938243014,0.004773076827405021,0.005876209629191594,0.8989284038543701,0.007567480938243014,2.2849025682998087e-09,5.632065306128536e-10,0.013028948141752624
25,0.006405639032796993,0.005875083792489022,0.006206080740825696,0.9024130702018738,0.006405639032796993,5.7662037941938784e-09,7.435408123761729e-11,0.02650092921541738
26,0.006921548731987933,0.008935374877182767,0.010162059111859311,0.8224490880966187,0.006921548731987933,1.554328099900639e-08,8.385493769949918e-10,0.022568772679521655
27,0.006491339387517277,0.005670409766025841,0.0061820958614010706,0.9032695889472961,0.006491339387517277,6.103251612132723e-09,8.11292732099929e-10,0.020552779603721757
28,0.006533423949686157,0.006509766826638952,0.007042715505866165,0.887906551361084,0.006533423949686157,7.198168460739326e-09,1.2843011710748783e-10,0.01425066202699904
29,0.006285159856189865,0.007053175490000285,0.008140858855437149,0.8481982946395874,0.006285159856189865,7.113106577800033e-09,1.089566948335173e-10,0.01934966329978078
