Epoch,Train Loss,Validation Loss,Test Loss,Test R2,Main Loss,gradP Loss (s1),gradT Loss (s2),gradC Loss (s3)
1,0.05376456583571899,0.052457791520282626,0.05776132270693779,0.03047764301300049,0.05376456583571899,7.019136074706468e-11,1.8191751869520814e-10,0.00020309367198421716
2,0.042493116207324065,0.026245543907862157,0.02604617771099914,0.549609899520874,0.042493116207324065,1.6551430294224635e-12,0.0,5.8975288150340556e-08
3,0.027659611595044663,0.02269537723623216,0.023919565772468395,0.576686680316925,0.027659611595044663,2.269986064262372e-13,5.252494017927724e-13,1.1431591820433116e-06
4,0.022515933682488932,0.022398410248570144,0.023593985390934078,0.5926517248153687,0.022515933682488932,0.0,0.0,0.0
5,0.021134609537949035,0.027248632395640016,0.03144764959473501,0.4035290479660034,0.021134609537949035,0.0,0.0,9.405804414816492e-08
6,0.023706907406449318,0.017089536355342716,0.018027773380956867,0.6895527243614197,0.023706907406449318,1.1895810412513958e-14,0.0,2.769268875999789e-06
7,0.018620686496716814,0.014354151353472844,0.01539395944300023,0.737690806388855,0.018620686496716814,3.3680527436127834e-13,0.0,5.377170299017463e-06
8,0.015741887072996272,0.01538549765245989,0.01797044895250689,0.6705526113510132,0.015741887072996272,1.675582197764023e-13,0.0,1.2521390881253112e-05
9,0.015479272551979725,0.011000401747878641,0.01218326169658791,0.7837538719177246,0.015479272551979725,5.883884654912447e-13,0.0,0.0004386572149423975
10,0.01402261166821246,0.010371401454904117,0.012508448340337385,0.7792098522186279,0.01402261166821246,3.0811064440926624e-10,0.0,0.0030308726470626864
11,0.014367802788249472,0.010644259804394096,0.012711885681545193,0.7717032432556152,0.014367802788249472,1.9697772954717823e-09,5.559462567324351e-13,0.0014884684047062249
12,0.01267645786238181,0.012482617486966774,0.014405148569494486,0.7336896657943726,0.01267645786238181,3.383979354163533e-09,2.4196768152398147e-13,0.006328458030751827
13,0.011505735167241717,0.008601638779509813,0.010046275882897053,0.8222556114196777,0.011505735167241717,5.666797328481683e-09,1.318921900967317e-11,0.017710927211109097
14,0.010338005767046632,0.0068734192464035004,0.009080576625737276,0.8438820838928223,0.010338005767046632,4.657609737762038e-09,5.807092199750435e-12,0.010220838720480926
15,0.00937737976866109,0.011122779542347416,0.012428191405805674,0.7622004747390747,0.00937737976866109,1.0294965815721115e-08,3.4643830649570927e-12,0.014992569347580392
16,0.009710888750246399,0.007798125559929758,0.008964294102042913,0.8489474654197693,0.009710888750246399,1.0171817404100615e-08,5.061034885895784e-11,0.014904199633628611
17,0.008463766994317631,0.007337478891713545,0.008930043169212613,0.8366348147392273,0.008463766994317631,1.7930980277013877e-08,9.002169542076555e-12,0.010266717872765313
18,0.008229272155841063,0.006804099481087178,0.009322233476930043,0.8382734656333923,0.008229272155841063,1.6636200262855852e-08,8.016595455026773e-11,0.01720482736931597
19,0.008114808665394976,0.008475226000882685,0.008481794396754016,0.8565605878829956,0.008114808665394976,1.3199570398813933e-08,1.7653258287985931e-10,0.012144841096048176
20,0.007962663361633366,0.007910188331152312,0.009626289490949024,0.831466794013977,0.007962663361633366,2.091539166955924e-08,8.053983416254815e-11,0.008177081599436427
21,0.009061415982130287,0.008589711069362238,0.010341566204178062,0.8185884952545166,0.009061415982130287,1.745443079415339e-08,4.070016474641289e-10,0.011469134397370332
22,0.008052043244847424,0.007118244393495843,0.00724127363752235,0.8768787980079651,0.008052043244847424,1.8946152981370343e-08,4.041207319319723e-10,0.01620412638550826
23,0.009008925737716354,0.009800820611417294,0.011929008263078604,0.7834132313728333,0.009008925737716354,2.5385910593481252e-08,2.0225065034634044e-10,0.02096406976174663
24,0.00797996196182227,0.006213519547600299,0.007329088752157986,0.8732272982597351,0.00797996196182227,1.2825446302968537e-08,3.272832842372704e-10,0.025361226955158876
25,0.007028392643075098,0.005958784924587235,0.0070951733611185445,0.8787832260131836,0.007028392643075098,2.5158446607590963e-08,6.358078344128394e-10,0.027435677017642306
26,0.006864417607400131,0.007410347316181287,0.008304314412684604,0.8559933304786682,0.006864417607400131,2.4764585558803594e-08,7.3148570327803e-10,0.027184817169618982
27,0.007213261988401026,0.006578144006198272,0.006141683848744089,0.8988789319992065,0.007213261988401026,2.202624225098574e-08,5.691662656307564e-10,0.021533122949293423
28,0.006350278180068383,0.005359240371035412,0.006123568397015333,0.8945245146751404,0.006350278180068383,2.981652763086475e-08,1.5713146323158798e-10,0.02106880342009838
29,0.007287015627416504,0.005281898847897537,0.006043515051715076,0.8968216776847839,0.007287015627416504,1.2489990985063514e-08,1.9868331491262686e-10,0.020942353322226673
30,0.006472032009200616,0.006178608644404449,0.006173340053382245,0.8985303044319153,0.006472032009200616,2.0373875945108663e-08,4.4997770605777095e-10,0.015252470816198585
31,0.006176775037129591,0.0053029314876766875,0.006125191300684078,0.8937621116638184,0.006176775037129591,2.2098277034979505e-08,1.6702705462255108e-10,0.01716995680930318
32,0.007017017838049245,0.005308357838657685,0.0058535903438248415,0.903933048248291,0.007017017838049245,3.222480385731041e-08,1.3875146226755487e-10,0.02244437499679206
33,0.006634168499209858,0.004956813878379762,0.005611309210177173,0.9044371843338013,0.006634168499209858,1.8178241335898545e-08,3.083517268247787e-11,0.027178366276942655
34,0.005775780761735393,0.0048444362910231575,0.006603130911984904,0.8784973621368408,0.005775780761735393,2.8500593681246326e-08,1.1208998299925726e-10,0.024773955749748628
35,0.005683285882696509,0.005762287895777263,0.0052432936023582115,0.9203478693962097,0.005683285882696509,1.9684378778260977e-08,2.3392743395768345e-10,0.025423564584819636
36,0.007723672923257018,0.005323467907146551,0.006331701826473529,0.8985322713851929,0.007723672923257018,2.6646389440443975e-08,2.5418731948634874e-10,0.012488709626709978
