Epoch,Main Loss,gradP Loss (s1),gradT Loss (s2),gradC Loss (s3),Physics Loss Sum
1,0.055749835472711375,5.578897496058101e-11,3.5664837731143586e-05,8.920029245250263e-09,3.56738135493638e-05
2,0.03517783475174031,4.3061756473065145e-13,3.538258718690459e-05,1.053397156741635e-08,3.539312158908957e-05
3,0.025635094434337716,1.979565399062436e-14,2.770175634202959e-06,3.6884682511962406e-10,2.7705445008237324e-06
4,0.01851277846947942,1.0697536516659602e-11,0.0,7.028886184780367e-10,7.135861549946963e-10
5,0.014353512156702263,6.163964513939083e-11,0.0,6.238148006188628e-09,6.299787651328019e-09
6,0.013921367706284977,4.5061939902209137e-10,4.116108055598194e-05,3.210190662054949e-07,4.148255024158645e-05
7,0.011434472336525649,3.81924867195296e-09,1.2502161394849557e-05,3.698685699089372e-07,1.2875849213430448e-05
8,0.010452988957592719,5.4008720563452764e-09,0.0003194388244745921,1.6099479023164796e-06,0.0003210541732489649
9,0.009397275132638678,6.5728429149801994e-09,0.0003878994978290257,1.303226254500738e-06,0.0003892092969264414
10,0.009924196477480968,5.337602682499232e-09,0.00038341390176128363,5.547666663635731e-06,0.0003889669060276018
11,0.011372217232964828,3.1981779549711636e-09,8.689752361435499e-06,5.681141230161685e-07,9.26106466240664e-06
12,0.010064986560651114,2.678665825081516e-09,0.0010966769625740634,2.0177031391768446e-06,0.0010986973443790655
13,0.010658033710287911,5.081681678361934e-09,0.00011140157278867474,3.81283551042906e-06,0.00011521948998078215
14,0.008255906317802802,1.198188546823149e-08,0.0013776312271147457,3.814509075372131e-06,0.001381457718075586
15,0.008064767617968396,8.295300238565995e-09,0.0022497900947594037,4.708087166433938e-06,0.002254506477226076
16,0.007839165732894145,6.060725371409139e-09,0.0017249077543144923,6.271379069686696e-06,0.0017311851941095504
17,0.007287623882162529,6.957245371469034e-09,0.0017683911758168919,1.043915634037517e-05,0.0017788372894026385
18,0.006895913365362606,6.8303753050044835e-09,0.001553397374731538,9.177881492797406e-06,0.0015625820865996405
19,0.007413552411582688,3.6214788656104597e-09,0.003531833974459387,7.47218431933348e-06,0.003539309780257586
20,0.00708586957082677,6.440055751707128e-09,0.004193625362724929,1.2363213661144544e-05,0.004205995016441826
21,0.007288455749979951,6.725318602960503e-09,0.0006126972445587805,1.0439522291938365e-05,0.0006231434921693217
22,0.0066110477323683215,8.148167529727655e-09,0.0025158227102074753,1.1184602704081397e-05,0.0025270154610790864
23,0.006731117180299381,7.211747685535761e-09,0.0009764347847078912,6.346109316243382e-06,0.0009827881057718202
24,0.006583162885106785,3.7183973327699423e-09,0.0013846837369125382,1.2576365146918535e-05,0.0013972638204567895
25,0.005368907457138871,7.833617533028595e-09,0.0038966695426907567,1.3217019385769808e-05,0.00390989439569406
26,0.006290055808125877,6.459599822432393e-09,0.0032922329002526562,7.483203654318676e-06,0.0032997225635067974
27,0.005608361989954932,9.090482097542237e-09,0.004053633322310694,1.2337033221881686e-05,0.004065979446014673
28,0.005659468068649441,6.230059502319108e-09,0.0028085896120560033,1.4407614551441916e-05,0.0028230034566669475
29,0.005881944553218257,2.3696860764423767e-09,0.0013888906751844414,1.269621372973724e-05,0.001401589258600255
30,0.006350797532178777,6.787285244985586e-09,0.002189735717653342,1.339796876941146e-05,0.0022031404737079987
31,0.005112550795261918,4.529427750508659e-09,0.0018860079893603158,1.0651036165378767e-05,0.001896663554953445
32,0.005316027989414271,7.939907391756924e-09,0.002237655481683892,1.4594018500649663e-05,0.002252257440091933
33,0.006214502687290521,6.428308754703693e-09,0.0009293761421144903,6.693263886409582e-06,0.0009360758343096545
34,0.006388502018395024,5.288278021944925e-09,0.0010090002509578427,1.770019489336986e-05,0.0010267057341292346
35,0.005115096532726582,1.0797145505648394e-08,0.001305642289318532,1.5029821464573935e-05,0.0013206829079286113
36,0.005378131190655937,5.247326149370078e-09,0.001387707961201565,1.132981003298096e-05,0.0013990430185606953
37,0.005076739395981733,6.672258537818851e-09,0.00205198173490812,9.877031346826048e-06,0.0020618654385134837
38,0.005604807838377818,5.989637526470422e-09,0.0009081479505044089,1.422156839591091e-05,0.0009223755085378463
39,0.005207841569872599,4.67565339174122e-09,0.001831399840159825,1.5230598222452803e-05,0.0018466351140356697
40,0.004962826711715947,4.454385931924806e-09,0.002361731022957703,2.9129038026372946e-05,0.002390864515370008
41,0.0050450797146842094,4.186440038264054e-09,0.0008563002748139385,1.501214487549654e-05,0.0008713166061294732
42,0.004992630473718467,1.0078831677178242e-08,0.0038906327408051804,1.4132196290125677e-05,0.0039047750159269833
43,0.005409163688506249,4.751673069743218e-09,0.0022828549577616495,1.2967986582980499e-05,0.0022958276960177
44,0.0052715881668608374,3.4711443822474796e-09,0.0020018902285949126,1.497072060021844e-05,0.0020168644203395134
45,0.004545879548638534,4.4384036146730055e-09,0.0036976258668680023,1.3493981238956483e-05,0.0037111242865105736
46,0.004459835111793183,4.432325352955451e-09,0.0018901783133991668,2.746572800613266e-05,0.0019176484737306525
47,0.004486448505342426,4.863105543281632e-09,0.0034481350449737636,1.833675606209783e-05,0.0034664766641414047
48,0.004539361792537843,6.275625836375791e-09,0.0033070292314086856,1.3404684362078154e-05,0.0033204401913966
49,0.003969812854258737,5.847832984022185e-09,0.001542013980537011,2.5593723395903818e-05,0.001567613551765899
50,0.004368901013357329,3.744538202613964e-09,0.001718247738189668,2.4141810184687833e-05,0.0017423932929125584
51,0.005644705658122687,5.015316403895229e-09,0.0025227954267923376,2.4923515762621724e-05,0.0025477239578713634
52,0.004455765081294091,3.246601873367674e-09,0.0005278673114215841,2.39253838971793e-05,0.0005517959419206368
53,0.005098143687576685,5.276609923739426e-09,0.0014817366303682923,2.0114444447389422e-05,0.0015018563514256054
54,0.00463224344388385,2.2111824160071213e-09,0.001273120585065663,1.2462470366951497e-05,0.0012855852666150305
55,0.00568619776110519,1.0600902990335449e-08,0.0015329231137339154,9.548671747886297e-06,0.001542482386384792
