category,rank_in_category,model_id,seed,training_r2,training_rmse,val_r2,val_rmse,test_r2,test_rmse,generalization_gap,selection_score,overall_rmse,overall_r2,filename
median,31,model_412_20250911_164656,412,0.805792730998519,0.169843543346317,0.822444857386019,0.2039521214984443,0.6880295477128064,0.1388136676165465,0.03410857815212731,0.2380606996505716,0.18689783242238064,0.814118794192269,metric_412_20250911_164656.csv
top3,1,model_1201_20250911_162008,1201,0.8859834162174168,0.130136856887745,0.8924866038601951,0.1587058333027878,0.6696666683640289,0.1428406100797583,0.0285689764150428,0.18727480971783061,0.1444213450952664,0.889235010038806,metric_1201_20250911_162008.csv
top3,2,model_2024_20250911_164426,2024,0.8678490216116065,0.1401043090072162,0.8822836439079158,0.1660657244717542,0.7572795807493948,0.1224415036825145,0.02596141546453798,0.19202713993629217,0.1530850167394852,0.8750663327597612,metric_2024_20250911_164426.csv
top3,3,model_99_20250911_165219,99,0.8851168269874627,0.1306304768370047,0.887694546601098,0.162204172683447,0.7434399611115017,0.1258838462983369,0.03157369584644229,0.1937778685298893,0.14641732476022584,0.8864056867942804,metric_99_20250911_165219.csv
