Epoch,Train Loss,Validation Loss,Test Loss,Test R2,Main Loss,gradP Loss (s1),gradT Loss (s2),gradC Loss (s3)
1,0.04931747463599938,0.07066094903991772,0.022360676071710057,0.12048888206481934,0.04931747463599938,1.5461723514122785e-11,3.608435291641147e-05,1.738020861309621e-05
2,0.032551456708461046,0.02901408778360257,0.01540395576092932,0.5357613563537598,0.032551456708461046,2.8607189216631414e-11,0.00017218413712544707,1.0645138619825597e-05
3,0.022959615739925606,0.028289696344962485,0.01856937414656083,0.4132242798805237,0.022959615739925606,1.0374296405247069e-11,0.0009710566718413241,0.0001635528528935781
4,0.020480509847402573,0.022767772468236778,0.016771538597014215,0.5358520746231079,0.020480509847402573,2.3873477217638194e-13,0.001464090600446095,0.00014886975157431178
5,0.019224060324543133,0.01974159823014186,0.026990977426369984,0.2286117672920227,0.019224060324543133,3.079747487274438e-12,0.0010469310414651341,0.00027240983282541344
6,0.017353785008464646,0.030337339123854272,0.015786920570664935,0.5041358470916748,0.017353785008464646,2.3662484168992682e-12,0.004079004409612996,0.00024226614411210527
7,0.020585040823079465,0.03232535863151917,0.014559070579707623,0.49938154220581055,0.020585040823079465,0.0,0.002374364178894569,0.0001776895096957031
8,0.018533456025690568,0.027940895981513537,0.010947463309599293,0.6346068382263184,0.018533456025690568,4.911150095277198e-12,0.0005263091025456519,0.0004396144716713063
9,0.01591050386337972,0.019961609576757137,0.01313452236354351,0.5499704480171204,0.01591050386337972,1.9495097358504696e-11,0.002577118597510617,0.000341282671646731
10,0.01699538749256512,0.03218013578309463,0.012913911474040814,0.5301805734634399,0.01699538749256512,3.888126258797941e-10,0.004504727534577009,0.0005162297783492345
11,0.015628150141820674,0.024779214738653257,0.019126106674472492,0.43494880199432373,0.015628150141820674,2.702376993722441e-10,0.005796619393572166,0.0003483154608904481
12,0.016959784887503923,0.02847958914935589,0.012019202423592409,0.6367916464805603,0.016959784887503923,2.5101898790126e-10,0.006712450170288351,0.0005424973072047934
13,0.015002198869407905,0.02205780205818323,0.013979960646894243,0.5519304275512695,0.015002198869407905,1.7654451829752994e-10,0.003960551832991029,0.00035962923555153285
14,0.014051188266177366,0.02313277297295057,0.010201694288601479,0.6915490627288818,0.014051188266177366,8.756327052706247e-10,0.006518484869755269,0.0005001066386628905
15,0.012447066542624338,0.020303372508631304,0.009189758294572433,0.6770532131195068,0.012447066542624338,4.741633372326899e-10,0.007078384810696844,0.0004904650159308813
