category,rank_in_category,model_id,seed,training_r2,training_rmse,val_r2,val_rmse,test_r2,test_rmse,generalization_gap,selection_score,overall_rmse,overall_r2,filename
median,31,model_1012_20250910_224334,1012,0.9347022498203468,0.0998654548596428,0.9384278752211976,0.0955564126728047,0.9028371018738484,0.1251618180970851,0.0043090421868381,0.0998654548596428,0.09771093376622375,0.9365650625207722,metric_1012_20250910_224334.csv
top3,1,model_2024_20250911_000414,2024,0.9549242200694712,0.0829731924880691,0.9546498581947775,0.0820081644922033,0.9343101601191496,0.1029131175713061,0.0009650279958657998,0.0829731924880691,0.0824906784901362,0.9547870391321244,metric_2024_20250911_000414.csv
top3,2,model_260_20250910_203602,260,0.9537142503190542,0.0840794431202687,0.9597918790347444,0.0772190858256503,0.9297117780036468,0.1064542272459683,0.006860357294618397,0.0840794431202687,0.0806492644729595,0.9567530646768994,metric_260_20250910_203602.csv
top3,3,model_2024_20250911_001538,2024,0.9521445953774592,0.085493219440184,0.950753690035433,0.0854583717850474,0.9387942093160052,0.0993385666525115,3.484765513660226e-05,0.085493219440184,0.0854757956126157,0.9514491427064461,metric_2024_20250911_001538.csv
