model_id,seed,weight_file,weight_path,category,renamed_file,train_rmse,val_rmse,test_rmse,generalization_gap,selection_score,overall_rmse,overall_r2
model_2024_20250911_000414,2024,model_2024_20250911_000414.pth,d:\apri\active\707_Computational_Lab\scope_1\models\models_root\SRS_multirun_baseline\model_weights\model_2024_20250911_000414.pth,top3,rank1_top3_SRS_multirun_baseline_2024.pth,0.0829731924880691,0.0820081644922033,0.1029131175713061,0.0009650279958657998,0.0829731924880691,0.0824906784901362,0.9547870391321244
model_260_20250910_203602,260,model_260_20250910_203602.pth,d:\apri\active\707_Computational_Lab\scope_1\models\models_root\SRS_multirun_baseline\model_weights\model_260_20250910_203602.pth,top3,rank2_top3_SRS_multirun_baseline_260.pth,0.0840794431202687,0.0772190858256503,0.1064542272459683,0.006860357294618397,0.0840794431202687,0.0806492644729595,0.9567530646768994
model_2024_20250911_001538,2024,model_2024_20250911_001538.pth,d:\apri\active\707_Computational_Lab\scope_1\models\models_root\SRS_multirun_baseline\model_weights\model_2024_20250911_001538.pth,top3,rank3_top3_SRS_multirun_baseline_2024.pth,0.085493219440184,0.0854583717850474,0.0993385666525115,3.484765513660226e-05,0.085493219440184,0.0854757956126157,0.9514491427064461
model_1012_20250910_224334,1012,model_1012_20250910_224334.pth,d:\apri\active\707_Computational_Lab\scope_1\models\models_root\SRS_multirun_baseline\model_weights\model_1012_20250910_224334.pth,median,median_rank31_SRS_multirun_baseline_1012.pth,0.0998654548596428,0.0955564126728047,0.1251618180970851,0.0043090421868381,0.0998654548596428,0.09771093376622375,0.9365650625207722
