category,rank_in_category,model_id,seed,training_r2,training_rmse,val_r2,val_rmse,test_r2,test_rmse,generalization_gap,selection_score,overall_rmse,overall_r2,filename
median,31,model_32_20250911_014525,32,0.9211266603045648,0.1097567631201768,0.9310981235334788,0.1010842031128041,0.8972811528794222,0.1286905630864337,0.00867256000737271,0.1097567631201768,0.10542048311649045,0.9261123919190217,metric_32_20250911_014525.csv
top3,1,model_14_20250910_234111,14,0.945082489596646,0.0915844192676434,0.949395800108738,0.0866285506037404,0.9284017713991084,0.1074416753625553,0.00495586866390299,0.0915844192676434,0.0891064849356919,0.947239144852692,metric_14_20250910_234111.csv
top3,2,model_260_20250910_210200,260,0.9427849872224274,0.0934805319482075,0.9440908187910666,0.0910561603275924,0.9185735644913678,0.1145788198637298,0.0024243716206151095,0.0934805319482075,0.09226834613789994,0.943437903006747,metric_260_20250910_210200.csv
top3,3,model_212_20250910_195404,212,0.949660710935008,0.0876838709716281,0.9446125878160084,0.0906302763319915,0.9221310332631706,0.1120479303216017,0.002946405360363405,0.0935766816923549,0.0891570736518098,0.9471366493755082,metric_212_20250910_195404.csv
