Epoch,Train Loss,Validation Loss,Test Loss,Test R2,Main Loss,gradP Loss (s1),gradT Loss (s2),gradC Loss (s3)
1,0.05492947053846339,0.048101695254445076,0.02742622629739344,-0.08838224411010742,0.05492947053846339,1.176036928908672e-12,0.0006911540390574251,5.1636665836866133e-08
2,0.030369226073085422,0.021921138123919565,0.015281886690192752,0.5417442321777344,0.030369226073085422,0.0,7.216243967760885e-06,1.6053169786121872e-09
3,0.020951709250958874,0.020123744286441553,0.014851624973946147,0.5890073776245117,0.020951709250958874,3.521337153410425e-14,5.541320432774781e-07,1.1074789921023736e-08
4,0.02165226330062453,0.020716227086571355,0.01659573262764348,0.5284436941146851,0.02165226330062453,0.0,0.0,3.32452788868389e-08
5,0.017016518218311627,0.01492546401762714,0.015670607176919777,0.6590322852134705,0.017016518218311627,0.0,3.702958204286786e-07,7.612127906178498e-07
6,0.01386425830423832,0.01274930612028887,0.009325511753559113,0.7599033117294312,0.01386425830423832,5.5710760179181363e-11,3.385453975848852e-06,7.017640369704437e-07
7,0.01319284079281587,0.015987779013812542,0.014680446849928962,0.6010544300079346,0.01319284079281587,4.616005756562867e-10,4.379267223542726e-05,1.4230655196864357e-06
8,0.011097271893908021,0.014575561275705695,0.013326701811618276,0.553741455078125,0.011097271893908021,7.91592509220323e-10,4.0707288713664895e-05,3.120932259611453e-06
9,0.01145251719018733,0.014367973354334632,0.013873315726717314,0.6211935877799988,0.01145251719018733,1.1109673317603241e-09,0.00019854987276299958,2.143408797285887e-06
10,0.010916168735900395,0.013580223196186125,0.010080612678494718,0.7080737352371216,0.010916168735900395,1.109002578929539e-09,0.00027989793348613657,1.1146655338172569e-06
11,0.00908844551386338,0.01011098560411483,0.007891472700672844,0.6604005098342896,0.00908844551386338,2.0328147587192658e-09,3.2909516151697974e-05,7.065040216212895e-06
12,0.008798087999539477,0.010457279480760917,0.008917093742638826,0.6319771409034729,0.008798087999539477,2.8574512236360084e-09,0.0005950572606330555,4.862919186510141e-06
13,0.008105375581014325,0.008120054340300461,0.006684295988331239,0.7512716054916382,0.008105375581014325,4.314180733601941e-09,0.0011723391697121088,4.208501514009001e-06
14,0.008336565257246855,0.008753702733277654,0.006674239302002307,0.7139133214950562,0.008336565257246855,4.533164046173098e-09,0.00022374889668611394,2.9103225722387735e-06
15,0.007703960663311078,0.008533541161644584,0.00631767041118615,0.724350094795227,0.007703960663311078,3.3056613281170212e-09,7.17160846972766e-05,3.7429437141199693e-06
16,0.006794781515925703,0.010284296848112717,0.006736858799639676,0.7526896595954895,0.006794781515925703,5.277646965042476e-09,0.003409122969714498,1.2713154710299886e-05
17,0.007247278404513925,0.007047758651121209,0.0077094353425006075,0.761719822883606,0.007247278404513925,2.7938172151700244e-09,0.0008567662666190939,6.506158135862263e-06
18,0.007173983412991527,0.007841195930571606,0.004383570097666557,0.8382327556610107,0.007173983412991527,6.378374494363111e-09,0.0003031285307004861,7.04838658195386e-06
19,0.0062469381209410415,0.0061315744678722695,0.005536120682437386,0.7883089184761047,0.0062469381209410415,4.297897734875716e-09,0.0005342927397661373,8.184483889339112e-06
20,0.006844545999856692,0.011280629298804948,0.013351011607382033,0.6000474691390991,0.006844545999856692,2.987992687142751e-09,0.0017882094340141064,6.687249233036178e-06
21,0.007536675272719331,0.006292346379874895,0.0049393722228059135,0.8059101104736328,0.007536675272719331,5.174470450798442e-09,0.0001287452276329541,5.485137766699828e-06
22,0.006606692858171505,0.007086653631025304,0.0051235361914021066,0.7984964847564697,0.006606692858171505,5.40913693973506e-09,0.00019056193920383334,7.734671553439665e-06
