category,rank_in_category,model_id,seed,training_r2,training_rmse,val_r2,val_rmse,test_r2,test_rmse,generalization_gap,selection_score,overall_rmse,overall_r2,filename
median,31,model_55_20250910_232116,55,0.948551320186848,0.0909814856039755,0.932874490261823,0.1029309391887973,0.7859737378901175,0.1149764859368667,0.0119494535848218,0.1148803927736191,0.0969562123963864,0.9407129052243355,metric_55_20250910_232116.csv
top3,1,model_88_20250910_203047,88,0.9605556794750346,0.0796632730773998,0.9469941948149426,0.0914668778811362,0.8264166198993759,0.1035451038712664,0.011803604803736392,0.10327048268487259,0.085565075479268,0.9537749371449886,metric_88_20250910_203047.csv
top3,2,model_121_20250910_205912,121,0.9592011920042838,0.0810195158717794,0.9459436558437628,0.0923688363803357,0.7028779810475467,0.1354699331132363,0.011349320508556304,0.10371815688889201,0.08669417612605755,0.9525724239240233,metric_121_20250910_205912.csv
top3,3,model_88_20250910_203553,88,0.9574285450279306,0.0827608901437639,0.9446056571419896,0.0935050021444482,0.8024355015133922,0.1104663363744067,0.0107441120006843,0.1042491141451325,0.08813294614410605,0.9510171010849602,metric_88_20250910_203553.csv
