Epoch,Train Loss,Validation Loss,Test Loss,Test R2,Main Loss,gradP Loss (s1),gradT Loss (s2),gradC Loss (s3)
1,0.05280687773923123,0.046616900130175054,0.050522948361255905,0.1734316349029541,0.05280687761577693,0.0,1.2345429580254705e-10,0.0
2,0.031405684127327936,0.021282023808453232,0.022178902544758537,0.6172418594360352,0.03140568412695225,3.7568271075487875e-13,0.0,0.0
3,0.022745981050547117,0.01740338426316157,0.01946332034739581,0.6520476341247559,0.022745981050485916,6.120341465061621e-14,0.0,0.0
4,0.018813869174565134,0.01838776154909283,0.01982726300643249,0.6603739261627197,0.018805525906674274,9.45280192040073e-15,0.0,8.343267881405263e-06
5,0.01860861965202967,0.014571330568287522,0.015472802333533764,0.7341653108596802,0.018585554832084614,2.9098766279070835e-11,1.8157394396451592e-11,2.3064772688893526e-05
6,0.01632413625607126,0.013299002050189301,0.015086204744875431,0.7302877902984619,0.016321482959312277,5.137106714828516e-11,2.121062747562823e-11,2.6532241772908315e-06
7,0.01410644735882259,0.010404250118881464,0.013013225387443195,0.7686437368392944,0.014098763121171044,5.0074456574251485e-11,2.9691854216319063e-12,7.68418460790254e-06
8,0.012268604110089575,0.010000208101700991,0.01184436475688761,0.7894545793533325,0.01226301540850432,4.2805279348802016e-10,1.949232302636752e-10,5.588078609231699e-06
9,0.011075107657904685,0.010355262056691572,0.011315931904722343,0.806304931640625,0.011043638601754006,5.61016045157017e-09,4.0658967201291885e-11,3.1463405331259185e-05
10,0.011203854162071257,0.011793983052484691,0.012459111611612818,0.7765350341796875,0.011070462249146847,1.255683413128368e-08,9.432656750239387e-12,0.00013337934665762322
11,0.010464941559138895,0.007538429257692769,0.00882104170424017,0.8560851216316223,0.010464930501706028,1.1039895462639535e-08,1.7537403079872536e-11,0.0
12,0.008799368604327257,0.011571853450732306,0.01140125993300568,0.8150578737258911,0.00878576224052964,9.268344053301113e-09,9.941491440461108e-11,1.3596996038649838e-05
13,0.009374476307274,0.0072858041821746156,0.009130291090431538,0.8285268545150757,0.009360116845988607,1.0260095384148453e-08,7.139283914297805e-11,1.4349129797170088e-05
14,0.008478119581282318,0.010006499796872959,0.012101992160420526,0.8038649559020996,0.008439974499527703,2.0250903837401107e-08,1.4046370641551798e-10,3.812469038707155e-05
15,0.008259553711818118,0.009428493605810218,0.011471137404441833,0.7825356721878052,0.00825720616652594,1.3605842690979823e-08,5.957428668851994e-12,2.3339334920570063e-06
