Epoch,Train Loss,Validation Loss,Test Loss,Test R2,Main Loss,gradP Loss (s1),gradT Loss (s2),gradC Loss (s3)
1,0.05714834762503808,0.052561781369149685,0.024129390923513308,0.03324484825134277,0.057114969125725855,0.0,3.337849931222771e-05,0.0
2,0.042630009443324623,0.0253291647726049,0.01765608073522647,0.44458985328674316,0.04262052953872882,7.317972476097233e-15,9.479840812541127e-06,6.377594143227345e-11
3,0.022891611828126456,0.01903145151057591,0.01733978744596243,0.5111421346664429,0.022891611556037212,0.0,0.0,2.7208924352805457e-10
4,0.017751611501207736,0.015080469660460949,0.01098723580232925,0.7267316579818726,0.017750647168239236,0.0,9.383223718709396e-07,2.6010596630572004e-08
5,0.013857236232238898,0.012099240557290614,0.009756400094678005,0.6813437938690186,0.013781314499308946,1.394381354331303e-10,7.578115694616707e-05,1.4043654564996914e-07
6,0.01269995375759193,0.014196509786415845,0.015416416546536816,0.5491673350334167,0.012698658164852942,1.2420444268764317e-09,9.444823734489841e-07,3.4986832111091525e-07
7,0.0110634068939735,0.012041047778135786,0.011567383797632324,0.6812020540237427,0.011057073138916577,3.0872699153201743e-09,3.2725624339701117e-06,3.058105353038621e-06
8,0.010004591805193867,0.009788073366507888,0.00637089264475637,0.7716914415359497,0.009984124261676006,4.374119274971885e-09,1.9567455993487392e-05,8.957134051017366e-07
9,0.00917868296823403,0.008346315919576833,0.005767998492552174,0.7961807250976562,0.009166373731896386,8.004319282318236e-09,9.818471356698544e-06,2.4827606616638186e-06
10,0.008842031355637598,0.00927334901643917,0.006008141777581639,0.7861301302909851,0.008834965868105352,8.879182374238712e-09,4.690709345453504e-06,2.3658990044122927e-06
11,0.008485623018083937,0.008194045687559992,0.005531168969658514,0.7733395099639893,0.008482218234681748,1.0406631167913247e-08,6.492264164701119e-07,2.7451503545530152e-06
12,0.008385683491257375,0.009196636984900882,0.0080030911291639,0.689000129699707,0.00837870350789646,7.063502818063231e-09,5.54992874263661e-07,6.41792698383159e-06
13,0.008730883846495747,0.008534390944987535,0.0060993182058963515,0.7388010025024414,0.008721875387545623,5.528312441033599e-09,4.894803770691046e-06,4.1081268669882845e-06
