Epoch,Train Loss,Validation Loss,Test Loss,Test R2,Main Loss,gradP Loss (s1),gradT Loss (s2),gradC Loss (s3)
1,0.05646613820352554,0.05294000070231656,0.026121962117031217,-0.04662775993347168,0.05640355801918137,2.295061597383658e-13,6.257520446525085e-05,4.979649405268393e-09
2,0.0468355497266625,0.04131279303692281,0.0376080053134097,-0.2944246530532837,0.0468355497266625,0.0,0.0,0.0
3,0.025695633216993276,0.023087753060584266,0.02216529266701804,0.3329172730445862,0.025695631910167948,3.2280146082159726e-14,0.0,1.306793046992548e-09
4,0.019334366639287046,0.017062557589573164,0.013780898466292355,0.614632248878479,0.019334366623784453,0.0,0.0,1.5502590876233722e-11
5,0.017003701528752878,0.016475230338983238,0.012622130258629719,0.6594794988632202,0.017003691099374225,1.1433424533960759e-14,4.374832580372299e-09,6.054534633512601e-09
6,0.014851826922680713,0.013343907388237616,0.010665894486010075,0.7273662090301514,0.014839228642710917,4.366609839961053e-10,1.2577364203313246e-05,2.0479105498926518e-08
7,0.01316018458343215,0.011140951227086285,0.008543706421429912,0.7730001211166382,0.013159981233553148,4.886668889840899e-10,1.5824132164341125e-07,4.461989047056975e-08
8,0.01020310295863434,0.010148973766869554,0.00745493018378814,0.7047720551490784,0.010201724790508898,7.5178142456695e-09,3.5014468497580666e-07,1.0205056262215678e-06
9,0.01002379619288176,0.009528685070108622,0.0063826958648860455,0.8032735586166382,0.010022627137286562,1.2581550511891238e-08,5.544698004657543e-08,1.1010270646353936e-06
10,0.00973472447046598,0.008618583922119191,0.007624906591243214,0.7932791709899902,0.009730153887624472,1.0655214014266236e-08,2.974842036610957e-06,1.58508559088202e-06
11,0.008786240369615877,0.01114310861642783,0.006922136009153392,0.746848464012146,0.008696405610568086,1.9726681545254017e-08,8.636363084261949e-05,3.4514015236203786e-06
12,0.00926218875052751,0.007942633121274412,0.005676310017911924,0.8382602334022522,0.009260615760224387,2.35154640470284e-08,3.5393640230447905e-07,1.1955384367699459e-06
13,0.00867098686134643,0.00982801460971435,0.007516438969307476,0.7561788558959961,0.008667161845615213,1.8306441587626407e-08,2.3557938439232182e-06,1.4509154457098428e-06
